title	pubDate	guid	link	description
Ukraine: Angry Zelensky vows to punish Russian atrocities	Mon, 07 Mar 2022 08:01:56 GMT	https://www.bbc.co.uk/news/world-europe-60638042	https://www.bbc.co.uk/news/world-europe-60638042?at_medium=RSS&at_campaign=KARANGA	The Ukrainian president says the country will not forgive or forget those who murder its civilians.
War in Ukraine: Taking cover in a town under attack	Sun, 06 Mar 2022 22:49:58 GMT	https://www.bbc.co.uk/news/world-europe-60641873	https://www.bbc.co.uk/news/world-europe-60641873?at_medium=RSS&at_campaign=KARANGA	Jeremy Bowen was on the frontline in Irpin, as residents came under Russian fire while trying to flee.
Ukraine war 'catastrophic for global food'	Mon, 07 Mar 2022 00:14:42 GMT	https://www.bbc.co.uk/news/business-60623941	https://www.bbc.co.uk/news/business-60623941?at_medium=RSS&at_campaign=KARANGA	One of the world's biggest fertiliser firms says the conflict could deliver a shock to food supplies.
Manchester Arena bombing: Saffie Roussos's parents on hearing the truth	Mon, 07 Mar 2022 00:05:40 GMT	https://www.bbc.co.uk/news/uk-60579079	https://www.bbc.co.uk/news/uk-60579079?at_medium=RSS&at_campaign=KARANGA	The parents of the Manchester Arena bombing's youngest victim speak about their life since she died.
Ukraine conflict: Oil price soars to highest level since 2008	Mon, 07 Mar 2022 08:15:53 GMT	https://www.bbc.co.uk/news/business-60642786	https://www.bbc.co.uk/news/business-60642786?at_medium=RSS&at_campaign=KARANGA	Consumers are feeling the impact of higher energy costs as fuel prices and household bills jump.
Ukraine war: PM to hold talks with world leaders on further sanctions	Mon, 07 Mar 2022 08:33:29 GMT	https://www.bbc.co.uk/news/uk-60642926	https://www.bbc.co.uk/news/uk-60642926?at_medium=RSS&at_campaign=KARANGA	Boris Johnson is to meet the Canadian and Dutch PMs, as MPs debate new laws targeting oligarchs.
Ukraine war: UK grants 50 Ukrainian refugee visas so far	Mon, 07 Mar 2022 08:09:21 GMT	https://www.bbc.co.uk/news/uk-60640460	https://www.bbc.co.uk/news/uk-60640460?at_medium=RSS&at_campaign=KARANGA	The home secretary says she is "surging capacity" as about 1% of 5,500 applications are granted.
TikTok limits services as Netflix pulls out of Russia	Mon, 07 Mar 2022 00:11:59 GMT	https://www.bbc.co.uk/news/business-60641988	https://www.bbc.co.uk/news/business-60641988?at_medium=RSS&at_campaign=KARANGA	TikTok suspends live streaming and new content from its platform, while Russians can no longer access Netflix.
Covid: Fourth jab for Scotland's vulnerable, and testing wind down fears in Wales	Mon, 07 Mar 2022 07:46:30 GMT	https://www.bbc.co.uk/news/uk-60640975	https://www.bbc.co.uk/news/uk-60640975?at_medium=RSS&at_campaign=KARANGA	Five things you need to know about the coronavirus pandemic this Monday morning.
Protests across Russia see thousands detained	Sun, 06 Mar 2022 23:23:59 GMT	https://www.bbc.co.uk/news/world-europe-60640204	https://www.bbc.co.uk/news/world-europe-60640204?at_medium=RSS&at_campaign=KARANGA	People have been held in 53 cities, from St Petersburg in the west to Vladivostok in the east.
